timestamp,open,high,low,close,volume
2025-10-19 11:00:00,107833.09,108206.08,107598.76,107598.76,0.12035
2025-10-19 12:00:00,107787.21,107876.1,107487.26,107735.77,0.10665
2025-10-19 13:00:00,107492.23,108260.54,107386.67,107837.17,0.13227
2025-10-19 14:00:00,108258.8,108499.64,107848.7,108499.64,0.05065
2025-10-19 15:00:00,108499.63,108579.06,108167.11,108568.16,0.03482
2025-10-19 16:00:00,108566.68,108911.92,108258.8,108551.49,0.22171
2025-10-19 17:00:00,108885.19,109377.99,108551.79,109198.64,1.2157
2025-10-19 18:00:00,109196.89,109412.23,109193.33,109222.63,0.2367
2025-10-19 19:00:00,109410.21,109410.21,108749.25,108753.47,0.20637
2025-10-19 20:00:00,109155.2,109155.2,108748.34,109038.38,0.10088
2025-10-19 21:00:00,109036.49,109036.49,108603.45,108900.13,0.30945
2025-10-19 22:00:00,108887.37,109311.31,108622.54,109038.5,0.10451
2025-10-19 23:00:00,109298.8,109298.8,108452.65,108455.55,0.22828
2025-10-20 00:00:00,108820.95,108820.95,107466.61,107676.39,0.28019
2025-10-20 01:00:00,108131.77,108249.51,107770.68,108246.32,0.07676
2025-10-20 02:00:00,108240.4,108911.55,107833.22,108904.42,0.22792
2025-10-20 03:00:00,108902.19,110342.37,108535.32,110339.24,1.68004
2025-10-20 04:00:00,110335.03,110459.21,110000.03,110367.83,0.21524
2025-10-20 05:00:00,110399.65,111053.25,110097.85,110900.07,0.19837
2025-10-20 06:00:00,111053.27,111219.23,110906.29,111219.23,0.2823
2025-10-20 07:00:00,111219.23,111296.28,111020.92,111096.13,0.01198
2025-10-20 08:00:00,111286.41,111514.87,110940.14,111454.74,0.06159
2025-10-20 09:00:00,111443.95,111443.95,110750.32,111056.21,0.09585
2025-10-20 10:00:00,111187.02,111187.02,110626.81,110626.81,0.01563
2025-10-20 11:00:00,111037.08,111037.08,110626.66,110652.89,0.0976
2025-10-20 12:00:00,111010.17,111189.96,110678.52,110828.07,0.31182
2025-10-20 13:00:00,110828.07,111085.77,110626.67,111085.76,1.3577
2025-10-20 14:00:00,111085.76,111310.18,110626.97,111310.13,0.33977
2025-10-20 15:00:00,111309.21,111631.1,110993.15,111117.08,0.66901
2025-10-20 16:00:00,111117.09,111320.36,110090.5,110763.57,0.99692
2025-10-20 17:00:00,110763.34,111029.13,109806.85,110035.01,0.30606
2025-10-20 18:00:00,110433.5,110916.74,110205.15,110916.74,0.36192
2025-10-20 19:00:00,110914.97,111189.9,110465.52,110932.24,0.3836
2025-10-20 20:00:00,110928.9,111198.28,110603.29,111145.66,0.52113
2025-10-20 21:00:00,111144.87,111234.53,110445.58,110445.58,1.85911
2025-10-20 22:00:00,110853.66,110853.66,110444.12,110476.52,0.01334
2025-10-20 23:00:00,110829.45,110829.46,110505.72,110519.56,0.04703
2025-10-21 00:00:00,110475.46,110784.68,110255.22,110265.53,0.11681
2025-10-21 01:00:00,110266.57,110502.47,109622.07,110069.43,0.192
2025-10-21 02:00:00,110064.99,110064.99,109333.48,109796.85,0.18076
2025-10-21 03:00:00,109365.35,109698.78,109141.39,109141.39,0.13935
2025-10-21 04:00:00,109117.46,109304.63,107625.8,107625.85,1.45683
2025-10-21 05:00:00,107626.74,107982.69,107550.0,107930.69,0.15564
2025-10-21 06:00:00,107925.03,108183.32,107519.26,108162.24,0.4404
2025-10-21 07:00:00,108158.03,108205.79,107724.95,108203.54,0.0805
2025-10-21 08:00:00,107835.89,108200.61,107519.06,108061.71,0.04722
2025-10-21 09:00:00,108056.95,108056.95,107523.06,108034.63,0.00967
2025-10-21 10:00:00,108016.98,108780.55,107983.25,108543.01,0.10623
2025-10-21 11:00:00,108375.85,108771.99,108210.55,108659.77,0.00606
2025-10-21 12:00:00,108658.57,109433.21,108654.78,108951.98,0.5154
2025-10-21 13:00:00,108950.97,108950.97,108000.0,108248.9,0.27623
2025-10-21 14:00:00,108528.65,112199.49,108207.84,111837.9,1.33805
2025-10-21 15:00:00,112199.49,113494.63,111714.31,113426.55,1.05002
2025-10-21 16:00:00,113473.03,113893.72,112498.52,112571.45,1.62418
2025-10-21 17:00:00,112922.41,112999.99,111868.83,112416.06,0.36937
2025-10-21 18:00:00,112333.77,112333.77,111375.43,112030.13,0.36188
2025-10-21 19:00:00,112051.35,112199.49,111614.54,111998.85,0.06536
2025-10-21 20:00:00,111643.37,111993.14,110639.04,111107.63,0.21193
2025-10-21 21:00:00,110718.03,111107.63,110193.84,110916.55,0.18563
2025-10-21 22:00:00,110916.49,110916.49,108386.02,109259.66,0.45953
2025-10-21 23:00:00,109257.27,109420.47,108130.0,108594.71,2.09093
2025-10-22 00:00:00,108329.95,108692.79,107770.34,108170.9,1.70868
2025-10-22 01:00:00,108170.67,108563.64,107852.21,108563.6,8.03034
2025-10-22 02:00:00,108563.38,108780.54,108252.08,108317.16,9.27062
2025-10-22 03:00:00,108627.11,108627.12,107905.1,108342.66,11.6281
2025-10-22 04:00:00,108342.66,108714.28,108134.43,108714.23,7.63549
2025-10-22 05:00:00,108714.28,108714.28,108000.0,108578.27,7.22709
2025-10-22 06:00:00,108578.24,108780.56,108034.01,108453.04,6.52434
2025-10-22 07:00:00,108452.89,108763.36,107689.83,108763.36,3.72997
2025-10-22 08:00:00,108708.26,108708.31,108035.4,108578.97,8.87254
2025-10-22 09:00:00,108578.36,108578.9,107878.14,108367.02,7.7905
2025-10-22 10:00:00,108366.37,108422.99,107888.76,107915.26,4.99608
2025-10-22 11:00:00,107915.41,108395.82,107072.1,108151.34,1.43925
2025-10-22 12:00:00,108150.4,108579.09,107578.98,108404.15,2.06642
2025-10-22 13:00:00,108404.13,109054.99,107873.2,109054.99,3.46005
2025-10-22 14:00:00,109054.99,109054.99,107873.14,108943.98,1.87696
2025-10-22 15:00:00,108722.58,109631.42,108030.19,108714.26,7.54252
2025-10-22 16:00:00,108714.22,108943.98,107991.3,108288.3,6.06524
