squeeze_end_time,breakout_time,direction,hold_period,pct_change,max_up_pct,max_down_pct,squeeze_duration
2025-10-26 10:00:00,2025-10-26 11:00:00,up,1,0.773214909861354,1.118889235182335,-0.14502556276610407,22
2025-10-26 10:00:00,2025-10-26 11:00:00,up,4,1.0439281087694323,1.2163875775505428,-0.14502556276610407,22
2025-10-26 10:00:00,2025-10-26 11:00:00,up,12,1.9215287199758888,2.449411459623322,-0.14502556276610407,22
2025-10-26 10:00:00,2025-10-26 11:00:00,up,24,2.6702157449647306,3.32484366361641,-0.14502556276610407,22
2025-10-26 10:00:00,2025-10-26 11:00:00,up,168,-1.1573606893899808,3.32484366361641,-5.526025818798121,22
2025-11-02 10:00:00,2025-11-02 11:00:00,up,1,0.4830146921011446,0.8614815346101004,0.02735653618558196,23
2025-11-02 10:00:00,2025-11-02 11:00:00,up,4,-0.09188060363551519,0.8614815346101004,-0.09188060363551519,23
2025-11-02 10:00:00,2025-11-02 11:00:00,up,12,0.35484610112235343,0.8614815346101004,-0.711279008287927,23
2025-11-02 10:00:00,2025-11-02 11:00:00,up,24,-2.222525881486617,0.8614815346101004,-3.1185091132084524,23
2025-11-02 10:00:00,2025-11-02 11:00:00,up,168,-7.21974987765725,0.8614815346101004,-10.232115267767167,23
2025-11-28 00:00:00,2025-11-28 01:00:00,expansion,1,-0.39136759163841633,-0.0006346264905808804,-0.7253014858794461,2
2025-11-28 00:00:00,2025-11-28 01:00:00,expansion,4,0.22932994165593804,0.39120346409775575,-0.7253014858794461,2
2025-11-28 00:00:00,2025-11-28 01:00:00,expansion,12,1.1599768645818727,1.3597529070817165,-0.7253014858794461,2
2025-11-28 00:00:00,2025-11-28 01:00:00,expansion,24,-0.6481287162578357,1.8341143251174061,-1.257665576786855,2
2025-11-28 10:00:00,2025-11-28 11:00:00,expansion,1,-0.43643596348173264,0.13768379431149522,-0.8059297548102708,1
2025-11-28 10:00:00,2025-11-28 11:00:00,expansion,4,0.7537825756569559,1.320749787165488,-0.8059297548102708,1
2025-11-28 10:00:00,2025-11-28 11:00:00,expansion,12,-1.0166849199938055,1.320749787165488,-1.7554438824500262,1
2025-11-28 10:00:00,2025-11-28 11:00:00,expansion,24,-1.5018060995869493,1.320749787165488,-1.7554438824500262,1
